description,startDate,skills
Walking through Harvardâ€™s Data Science [course](http://cs109.github.io/2015/),2016-11-01,"Python, statistical modeling, machine learning"
Built [Cheers](https://github.com/rileysparsons/Cheers) a simple iOS application written in Swift,2016-10-01,Swift
Building my personal [website](https://github.com/rileysparsons/rileyparsons.com),2016-10-01,"Photoshop, Illustrator, Ruby on Rails, Git, Heroku"
Travelled throughout Eastern Europe and Southeast Asia,2016-07-01,
Associate Intern at [SV Angel](https://svangel.com/) in San Francisco,2016-03-01,"Due dilligence, pitch decks,early stage investments"
Graduated from [Santa Clara University](https://www.scu.edu/),2016-06-01,"Bioengineering,entrepreneurship,chemistry"
Completed [senior thesis](http://scholarcommons.scu.edu/cgi/viewcontent.cgi?article=1037&context=bioe_senior) required for degree in bioengineering,2016-05-01,"Bioengineering,Analytical Chemistry"
Technology and Venture Capital Intern at [City National Bank](https://www.cnb.com/technology/),2015-06-01,"Venture debt,startups,banking, business writing"
Marketing intern at [SE3D Education](http://www.se3d.com/),2015-09-01,"Copywriting,InDesign, 3D Bioprinting"
"Developed [Spree](https://github.com/rileysparsons/Spree), mobile marketplace for students",2015-01-01,"Objective-C, Sketch, XCode"
"Research Assistant in [Suljak Lab](https://www.scu.edu/cas/chemistry/faculty/steven-suljak/), Santa Clara University, Department of Chemistry",2014-03-01,"Capillary Electrophoresis, Analytical Chemistry, Protein-DNA Interactions"
"Developed SceneScope, map app for Santa Clara students",2014-10-01,"Objective-C,XCode"